Task,Task Detail Description,Priority,Status,Environment,Phase,Hours,Timeline,Remarks,Resource
Blocked - Pending Business Confirmation,,,,,,,,,
Candidate Source Categories,Confirm with Naveen and Chhaya whether Vendor and Placement candidates really arrive with no email or phone,High,Yet-to-start,Staging,Phase 3 - UAT,2,Week 1,"P1 - Needs clarification - BLOCKS all source-category and C2C work - Sanghamitra Roy - 'I will also have a discussion with Chhaya once just to reconfirm'",
Candidate Source Categories,Naming and data model for College Placement / Placement / Vendor - DO NOT START until the confirmation row above closes,Medium,Yet-to-start,Staging,Phase 4,,,"P1 - Blocked - Sanghamitra Roy - 'one you can name it as college placement one you can name it as placement and one as vendor'",
Evalground Integration,Obtain Evalground API charges and a customer-support contact,Medium,Yet-to-start,Staging,Phase 4,2,Week 2,"P2 - Needs clarification - Sanghamitra Roy is content to proceed without the API - 'even if it is too high and we cannot go I am okay with that'",
Already Covered - Do Not Re-Create,,,,,,,,,
Vendor 2 - C2C Vendor,Vendor / Placement upload with no mandatory email or phone - name-only dedup - recruiter review,,Yet-to-start,Staging,Phase 4,,,"Already on the Phase 4 tasks list (Vendor 2 - C2C Vendor block - 40 rows). Do not duplicate. Sanghamitra Roy: hold until the core runs stable for 1-2 months",
MS Access Feasibility / Export,Historical Access database analysis - field mapping - migration or synchronisation,,Yet-to-start,Staging,Phase 4,,,"Already on the Phase 4 tasks list (4 rows). Sanghamitra Roy - 'we need to integrate that at some point because that is lot of data'",
Admin Config UI,Stages / Outcomes / Reasons CRUD so admins edit messages and recipients without a developer,,In-progress,Staging,Phase 4,,,"Already on the Phase 4 tasks list (3 rows). Harish confirmed in the call - 'we are working on this as well'",
SaaS / Multi-company,Multi-tenant product expansion,,Yet-to-start,Staging,Long term,,,"P3 - Architecture already multi-tenant (super admin / company admin / recruiter / vendor). No build now",
External Interviewer Portal,In-app external reviewer module with mail body and notification,,Yet-to-start,Staging,Not planned,,,"DO NOT BUILD - Pankaj proposed it and Sanghamitra declined twice - 'it is not even needed to be added here... as long as she is able to just download the details'",
