Release,Module,Feature,Started/Requested Date,Implemented Date,What It Means For You
Phase 3,Interview Scheduling,Interviewer scorecards for every round,13/07/2026,29/07/2026,Each interviewer records structured feedback online; the HR round scorecard now matches the full paper evaluation form field-for-field.
Phase 3,Interview Scheduling,Consolidated feedback summary,13/07/2026,6/8/2026,"All interviewers' feedback on one candidate is rolled up into a single summary with a recommendation tally, so the next round doesn't have to dig through separate forms."
Phase 3,Interview Scheduling,Client Interview handled manually,13/07/2026,30/07/2026,"Per company decision, the Client round is tracked in the system for record-keeping, but the system never emails the client or generates an invite -- everything is still coordinated offline."
Phase 3,Interview Scheduling,Accurate Zeko assessment scores,13/07/2026,25/08/2026,"Zeko HR-screening and functional-interview scores now sync automatically; the pipeline screen updates live the moment a score arrives, with no manual refresh needed."
Phase 3,Document Collection,Secure candidate document upload,13/07/2026,29/07/2026,"HR requests documents (payslips, address proof, ID) with one click; the candidate uploads them via a secure link with no login required."
Phase 3,Document Collection,Verify or reject with a reason,13/07/2026,29/07/2026,"HR verifies each document or rejects it with a reason -- a rejected item automatically re-opens for the candidate to re-upload, with the reason shown to them."
Phase 3,Document Collection,Automatic follow-up reminders,13/07/2026,5/8/2026,"Candidates who don't respond get reminded automatically. Documents are never deleted, in line with our retention policy."
Phase 3,Offer Management,End-to-end offer tracking,13/07/2026,29/07/2026,"Sharing the offer with the candidate, and the candidate's accept/reject decision are all tracked in one place with a full audit trail (appointment letters themselves are still handled by HR outside the system, as before)."
Phase 3,Offer Management,Automatic requisition closing,13/07/2026,26/08/2026,"Once every opening on a role is filled, the requisition automatically closes and drops off the open-roles list; if an acceptance is later reversed, it automatically reopens."
Phase 3,Offer Management,Auto-close after joining,13/07/2026,29/07/2026,A journey automatically closes 90 days after a candidate's joining date if nobody has closed it manually.
Phase 3,Placement Vendors,Vendors now get real status updates,13/07/2026,12/8/2026,"Placement vendors finally receive automatic, content-free status updates on the candidates they submitted."
Phase 3,Placement Vendors,Vendor privacy rules enforced,13/07/2026,12/8/2026,"Vendors get a milestone note when an offer happens (no figures or details) and nothing at all during the Documents stage, protecting candidate privacy."
Phase 3,Placement Vendors,90-day exclusivity properly enforced,13/07/2026,12/8/2026,"The rule protecting a vendor's ownership of a candidate they submitted for 90 days now holds, including when duplicate candidate records are merged."
Phase 3,Placement Vendors,Vendor Dashboard shows real pipeline stages,13/07/2026,12/8/2026,Vendors see the actual current stage of their candidates instead of a guessed status.
Phase 3,Recruitment Analytics,Four dashboard metrics corrected,13/07/2026,26/08/2026,"Zeko pass-rate, time-to-hire, and two other Analytics figures were launched; all four report accurate, verified numbers."
Phase 3,Search Candidate,Simplified search,13/07/2026,17/08/2026,"The Search Candidates page was decluttered to Name / Email / Phone, sorted newest first, removing confusing options that didn't add value."
Phase 2 Enhancement,Screening,Editable email preview before sending,21/07/2026,23/07/2026,"Recruiters see and can edit the exact shortlist/reject email -- with a proper formatting toolbar -- before it goes to the candidate, instead of it firing automatically."
Phase 2 Enhancement,Screening,Mandatory rejection reason,21/07/2026,23/07/2026,"Every rejection now requires a reason (with a free-text option when 'Other' is picked), strengthening the audit trail."
Phase 2 Enhancement,Screening,Tag to an Open JD on keyword search,21/07/2026,23/07/2026,"Shortlisting or rejecting from a keyword search now requires tagging the real open role, so the candidate's email and all reporting name the correct position instead of 'Manual Screening'."
Phase 2 Enhancement,Screening,No more hidden search caps,21/07/2026,23/07/2026,"Candidate search no longer silently caps results (previously capped between 50 and 3,000 depending on the search) -- recruiters now see every matching candidate."
Phase 2 Enhancement,Screening,Send-email checkbox,21/07/2026,23/07/2026,Recruiters can choose whether a shortlist or reject action sends a candidate email at all.
Phase 2 Enhancement,Screening,90-day rejection cooldown,21/07/2026,23/07/2026,"A rejected candidate is held out of search results for 90 days -- rather than forever, or not at all -- before they can resurface for reconsideration."
Phase 2 Enhancement,Screening,Shortlisted / Rejected by X on Y,21/07/2026,23/07/2026,"Every candidate card and detail view now shows exactly who made the shortlist or reject decision, and when."
Phase 2 Enhancement,Dashboard,New Recruiter Activity widget,21/07/2026,23/07/2026,"A new dashboard chart shows how many candidates each recruiter added versus shortlisted, giving managers visibility into individual throughput."
Phase 2 Enhancement,Screening,"Clearer ""busy"" messaging",21/07/2026,23/07/2026,"If the AI candidate-ranking service is temporarily busy, recruiters now see a clear 'showing top N of M matches, service busy' message instead of a confusing partial result."
Phase 3,Candidate Pipeline,Manually close a requisition (MRF),26/08/2026,26/08/2026,"A role cancelled by the business can now be closed with a reason, instead of sitting open in dropdowns indefinitely."
Phase 3,Candidate Pipeline,Board filters and real email conversations,26/08/2026,27/08/2026,"Recruiters can filter the board to 'Rejected only' or 'My candidates', and can view and reply to the actual Outlook email conversation with a candidate directly from their record."
