Task,Task Detail Description,Priority,Status,Environment,Phase,Hours,Remarks,Resource
MS Graph Calendar Access (R&D),Submit Graph permission request (Calendars.ReadWrite + Schedule.Read.All) to IT Team + Followup + Testing,High,Yet-to-start,Staging,Phase 3,5,Hard gate on M3a start date,
Pipeline Stage Engine- Data base Schema Setup, DDL: rpa_pipeline_stages + rpa_stage_outcomes + rpa_stage_email_templates tables,High,Yet-to-start,Staging,Phase 3,1,,
Pipeline Stage Engine- Data base Schema Setup,DDL: rpa_candidate_pipeline table + partial unique index (cv_id/mrf_id),High,Yet-to-start,Staging,Phase 3,1,,
Pipeline Stage Engine- Data base Schema Setup,DDL: rpa_pipeline_stage_events (append-only audit) table,High,Yet-to-start,Staging,Phase 3,2,,
Pipeline Stage Engine- Data base Schema Setup,DDL: rpa_outcome_reasons table +New option setup by admin in the UI,High,Yet-to-start,Staging,Phase 3,1,,
Pipeline Stage Engine- Data base Schema Setup,CHECK-constraint pre-flight DDL (rpa_email_templates.category; pipeline_status),High,Yet-to-start,Staging,Phase 3,1,Must run before seeding new categories/values,
Pipeline Stage Engine- Data base Schema Setup,prisma db pull + prisma generate + schema review,High,Yet-to-start,Staging,Phase 3,1,,
Pipeline Stage Engine,pipelineStages.js config constants (STAGE_KEYS/OUTCOMES/FINAL_OUTCOMES),High,Yet-to-start,Staging,Phase 3,2,,
Pipeline Stage Engine,pipeline.service.js: listPipeline (board data/filters/aging),High,Yet-to-start,Staging,Phase 3,4,,
Pipeline Stage Engine,pipeline.service.js: getPipelineDetail (row + event timeline + emails),High,Yet-to-start,Staging,Phase 3,3,,
Pipeline Stage Engine,pipeline.service.js: setStageOutcome transaction (core write-back engine),High,Yet-to-start,Staging,Phase 3,4,,
Pipeline Stage Engine,pipeline.service.js: advanceStage + setFinalOutcome,High,Yet-to-start,Staging,Phase 3,3,,
Pipeline Stage Engine,Cooling-off guard logic (6-month window on new journey creation),High,Yet-to-start,Staging,Phase 3,3,,
Pipeline Stage Engine,"Concurrent-MRF journey support (two active journeys, no cross-stop)",High,Yet-to-start,Staging,Phase 3,3,,
Pipeline Stage Engine,Legacy write-back: rpa_cv.FinalStatus text (classifyStatus compatibility),High,Yet-to-start,Staging,Phase 3,2,,
Pipeline Stage Engine,Legacy write-back: rpa_shortlisted_candidates.pipeline_status + future_prospect,High,Yet-to-start,Staging,Phase 3,2,,
Pipeline Stage Engine,Legacy endpoint delegation (updateCandidateStatus  new engine),High,Yet-to-start,Staging,Phase 3,3,No double emails when pipeline row exists,
Pipeline Stage Engine,pipeline.controller.js + pipeline.routes.js (CRUD + admin config endpoints),High,Yet-to-start,Staging,Phase 3,3,,
Pipeline Stage Engine,Seed script: seed-pipeline-stages.js (12 stages + reasons + templates),High,Yet-to-start,Staging,Phase 3,3,,
Outcome Email Dispatcher,stageNotification.service.js: template resolution chain,High,Yet-to-start,Staging,Phase 3,3,stageoutcome mapping  generic fallback,
Outcome Email Dispatcher,Vendor dual-send (cc) recipient assembly + staging redirect,High,Yet-to-start,Staging,Phase 3,2,,
Outcome Email Dispatcher,rpa_email_messages / rpa_email_tracking / rpa_email_log trio wiring,High,Yet-to-start,Staging,Phase 3,2,,
Outcome Email Dispatcher,Ad-hoc per-candidate email override endpoint,High,Yet-to-start,Staging,Phase 3,3,New RT ask 2026-07-14  not yet built,
Outcome Email Dispatcher,Unit tests: recipient assembly with redirect mocked off,High,Yet-to-start,Staging,Phase 3,2,,
Admin Config UI,Stages CRUD admin tab,High,Yet-to-start,Staging,Phase 3,3,,
Admin Config UI,Outcomes CRUD (per stage),High,Yet-to-start,Staging,Phase 3,3,,
Admin Config UI,Reasons CRUD,High,Yet-to-start,Staging,Phase 3,2,,
Pipeline Tracker UI,Email Body Field in the UI before sending email,High,Yet-to-start,Staging,Phase 3,3,,
Pipeline Tracker UI,Pipeline.jsx kanban board & stage columns rendered from config,High,Yet-to-start,Staging,Phase 3,4,Shortlisting is the only entry point  no manual add,
Pipeline Tracker UI,Candidate cards: aging badge/source tag/status chip/concurrency badge,High,Yet-to-start,Staging,Phase 3,3,,
Pipeline Tracker UI,Filters + counts,High,Yet-to-start,Staging,Phase 3,2,,
Pipeline Tracker UI,Route /pipeline behind ModuleRoute,High,Yet-to-start,Staging,Phase 3,1,,
Pipeline Tracker UI,PipelineDrawer.jsx  round stepper + per-round panel shell,High,Yet-to-start,Staging,Phase 3,4,,
Pipeline Tracker UI,Outcome modal (mandatory reason dropdown + notes),High,Yet-to-start,Staging,Phase 3,3,,
Pipeline Tracker UI,Closure select on the Offer round,High,Yet-to-start,Staging,Phase 3,2,,
Pipeline Tracker UI,pipeline.js frontend API client,High,Yet-to-start,Staging,Phase 3,2,,
Pipeline Tracker UI,Pipeline analytics tab in existing Analytics.jsx (funnel/aging/rejection reasons),High,Yet-to-start,Staging,Phase 3,3,No new analytics page,
Bell Notifications,Socket.io events (pipeline:outcome / awaiting_feedback / assessment:import_done),High,Yet-to-start,Staging,Phase 3,2,In-memory only  persistent notification center deferred,
Bell Notifications,"Frontend NotificationBell wiring for new pipeline events, any other important modules",High,Yet-to-start,Staging,Phase 3,4,,
M1 Verification/Testing,Staging DDL apply + prisma pull diff review,High,Yet-to-start,Staging,Phase 3,1,,
M1 Verification/Testing,Seed run + category CHECK validation,High,Yet-to-start,Staging,Phase 3,1,,
M1 Verification/Testing,Outcome-email round trip test (one per type + tracking rows),High,Yet-to-start,Staging,Phase 3,3,,
M1 Verification/Testing,Vendor dual-send unit test (candidate to + vendor cc),High,Yet-to-start,Staging,Phase 3,2,,
M1 Verification/Testing,"Legacy regression pass (analytics/status, VendorDashboard buckets, shortlist flow)",High,Yet-to-start,Staging,Phase 3,3,,
M1 Verification/Testing,Concurrent-MRF + cooling-off scenario test,High,Yet-to-start,Staging,Phase 3,3,,
M1 Verification/Testing,Future Prospect scenario test (Stage 0 write-back + re-shortlist),High,Yet-to-start,Staging,Phase 3,2,,
M1 Verification/Testing,Write docs/CHANGES-phase3-m1-pipeline.md,High,Yet-to-start,Staging,Phase 3,1,,
Evalground Assessment Import,rpa_assessment_imports table (file/counts/mechanism),High,Yet-to-start,Staging,Phase 3,2,,
Evalground Assessment Import,assessmentImport.service.js  bulk CSV parse (existing xlsx dep),High,Yet-to-start,Staging,Phase 3,3,,
Evalground Assessment Import,"Section 1/2/3 label handling (admin-renameable, not hard-coded)",High,Yet-to-start,Staging,Phase 3,2,,
Evalground Assessment Import,Skip-unless-score-changed retake logic,High,Yet-to-start,Staging,Phase 3,2,RT-confirmed rule  only score overwritten on retake,
Evalground Assessment Import,Candidate match by email (fallback: name+phone review list),High,Yet-to-start,Staging,Phase 3,3,,
Evalground Assessment Import,Validation preview + commit + import log,High,Yet-to-start,Staging,Phase 3,3,,
Evalground Assessment Import,Single-result entry path (Outlook mechanism),High,Yet-to-start,Staging,Phase 3,3,,
Evalground Assessment Import,Frontend: import action inside Assessment round panel,High,Yet-to-start,Staging,Phase 3,3,Never a standalone screen,
Evalground Assessment Import,Frontend: Section-label preview + inline rename,High,Yet-to-start,Staging,Phase 3,2,,
Evalground Assessment Import,Frontend: validation report (matched/unmatched/malformed),High,Yet-to-start,Staging,Phase 3,2,,
Evalground Assessment Import,Frontend: import history list,High,Yet-to-start,Staging,Phase 3,2,,
Evalground Assessment Import,Evalground test pending badge for untested candidates,High,Yet-to-start,Staging,Phase 3,2,Never expires/deleted,
Evalground Assessment Import,Auto-suggest Passed/Failed at 50% pass mark,High,Yet-to-start,Staging,Phase 3,2,,
Evalground Assessment Import,Verification: crafted CSV matrix (matched/unmatched/duplicate/retake/malformed),High,Yet-to-start,Staging,Phase 3,3,,
Evalground Assessment Import,Verification: idempotent re-import test,High,Yet-to-start,Staging,Phase 3,2,,
Evalground Assessment Import,Verification: single-result path parity with bulk path,High,Yet-to-start,Staging,Phase 3,2,,
Teams/Outlook Scheduling,calendar.service.js  Graph events create/patch/cancel,High,Yet-to-start,Staging,Phase 3,4,Needs Calendars.ReadWrite grant,
Teams/Outlook Scheduling,Verify Graph grant via scratch script (assert onlineMeeting.joinUrl),High,Yet-to-start,Staging,Phase 3,3,,
Teams/Outlook Scheduling,rpa_interview_schedules table,High,Yet-to-start,Staging,Phase 3,2,,
Teams/Outlook Scheduling,rpa_interview_feedback table,High,Yet-to-start,Staging,Phase 3,2,,
Teams/Outlook Scheduling,Schedule endpoints under /api/pipeline/:id/interviews,High,Yet-to-start,Staging,Phase 3,3,,
Teams/Outlook Scheduling,Public no-login scorecard endpoints (token pattern reuse),High,Yet-to-start,Staging,Phase 3,3,,
Teams/Outlook Scheduling,interviewReminderScheduler.js  env-gated cron with agreed cadence,High,Yet-to-start,Staging,Phase 3,4,Candidate/interviewer T-30; feedback 1h then every 2 days to day 6 then stop ~day 10,
Teams/Outlook Scheduling,Frontend: schedule modal (DatePicker + interviewer picker + free/busy),High,Yet-to-start,Staging,Phase 3,4,,
Teams/Outlook Scheduling,Frontend: InterviewFeedbackForm.jsx  Technical/CEO shared card layout,High,Yet-to-start,Staging,Phase 3,4,Skills 1-3 mandatory + 4-5 optional; 0.5-step ratings,
Teams/Outlook Scheduling,Frontend: InterviewFeedbackForm.jsx  HR Round card variant,High,Yet-to-start,Staging,Phase 3,3,,
Teams/Outlook Scheduling,Frontend: feedback review panel,High,Yet-to-start,Staging,Phase 3,3,,
Teams/Outlook Scheduling,Round-status chips wired to schedule + feedback state,High,Yet-to-start,Staging,Phase 3,2,,
Teams/Outlook Scheduling,Consolidated feedback text block generation + HR notify,High,Yet-to-start,Staging,Phase 3,2,,
Teams/Outlook Scheduling,Second increment: published-slots model + candidate slot-picker page,High,Yet-to-start,Staging,Phase 3,4,Interviewer-fixed mode ships first,
Teams/Outlook Scheduling,Slot conflict handling (interviewer overwrites published slots),High,Yet-to-start,Staging,Phase 3,2,,
Teams/Outlook Scheduling,Staging safety: substitute attendees for non-prod calendar invites,High,Yet-to-start,Staging,Phase 3,2,Email redirect does NOT cover calendar invites,
Teams/Outlook Scheduling,"Timezone handling (store TIMESTAMPTZ, render IST)",High,Yet-to-start,Staging,Phase 3,1,,
Teams/Outlook Scheduling,Verification: full round-trip (schedule  invite  reminder  scorecard  email),High,Yet-to-start,Staging,Phase 3,4,,
Teams/Outlook Scheduling,Verification: reschedule + cancel paths,High,Yet-to-start,Staging,Phase 3,3,,
Teams/Outlook Scheduling,Verification: confirm no real attendee ever receives staging invites,High,Yet-to-start,Staging,Phase 3,2,,
Document Collection,rpa_document_requests table,High,Yet-to-start,Staging,Phase 3,2,,
Document Collection,rpa_candidate_documents table,High,Yet-to-start,Staging,Phase 3,2,,
Document Collection,"Request endpoint + ""Document Collection Request"" template seed",High,Yet-to-start,Staging,Phase 3,2,Exact text received from Chhaya 2026-07-14,
Document Collection,Public token-gated multi-file upload endpoint (multer + OneDrive),High,Yet-to-start,Staging,Phase 3,3,,
Document Collection,Verify/reject-with-reason endpoint + auto re-request loop,High,Yet-to-start,Staging,Phase 3,4,,
Document Collection,Reminder wiring (email_type=document_request),High,Yet-to-start,Staging,Phase 3,2,,
Document Collection,Archive-to-SharePoint job stub (threshold-driven),High,Yet-to-start,Staging,Phase 3,3,Threshold not yet set  build schedulable job only,
Document Collection,Frontend: DocumentUpload.jsx (checklist + multi-file),High,Yet-to-start,Staging,Phase 3,3,Blocked/may descope: capacity check pending,
Document Collection,Frontend: verification checklist tab in drawer,High,Yet-to-start,Staging,Phase 3,4,,
Document Collection,Guard: audit no document data exposed on vendor APIs,High,Yet-to-start,Staging,Phase 3,2,,
Document Collection,Verification: end-to-end request  upload  verify  re-request loop,High,Yet-to-start,Staging,Phase 3,3,,
Offer Management & Closure,rpa_offers table (record-only  no letter file storage),High,Yet-to-start,Staging,Phase 3,2,,
Offer Management & Closure,Approval flow: approval-requested  daily nudge  in-app approve,High,Yet-to-start,Staging,Phase 3,3,,
Offer Management & Closure,Offer shared recording with soft gate for exceptions,High,Yet-to-start,Staging,Phase 3,2,,
Offer Management & Closure,Legacy field population (offer_sent_at/offer_accepted_at/joined_at),High,Yet-to-start,Staging,Phase 3,2,,
Offer Management & Closure,90-day post-Joined auto-close cron (env-gated),High,Yet-to-start,Staging,Phase 3,2,,
Offer Management & Closure,Vendor status-only notification (never letter/figures),High,Yet-to-start,Staging,Phase 3,1,,
Offer Management & Closure,Closure via M1 endpoint + comms,High,Yet-to-start,Staging,Phase 3,1,,
Offer Management & Closure,Verification: approval nudge cadence + soft-gate + auto-close,High,Yet-to-start,Staging,Phase 3,3,,
Placement Vendor Completion & Hardening,VendorDashboard  real stage column from rpa_candidate_pipeline,High,Yet-to-start,Staging,Phase 3,3,Fallback to classifyStatus for legacy rows,
Placement Vendor Completion & Hardening,Isolation audit  every pipeline API filtered by VendorEmail,High,Yet-to-start,Staging,Phase 3,4,,
Placement Vendor Completion & Hardening,Dual-send coverage audit across M2M5 (every send via dispatcher),High,Yet-to-start,Staging,Phase 3,3,,
Placement Vendor Completion & Hardening,Vendor sensitive-stage suppression audit (offer/CTC/documents),High,Yet-to-start,Staging,Phase 3,3,,
Placement Vendor Completion & Hardening,Cooling-off enforcement audit,High,Yet-to-start,Staging,Phase 3,3,,
Placement Vendor Completion & Hardening,90-day lock vs closure interaction check,High,Yet-to-start,Staging,Phase 3,1,,
Placement Vendor Completion & Hardening,Admin exposure of new templates/reason lists/flow keys,High,Yet-to-start,Staging,Phase 3,2,,
Placement Vendor Completion & Hardening,Docs updates (VENDOR_PROCESS.md + consolidated CHANGES-phase3-*.md),High,Yet-to-start,Staging,Phase 3,2,,
Placement Vendor Completion & Hardening,Whole-DB skill-search verification (vectorStore.service.js + stage history),High,Yet-to-start,Staging,Phase 3,4,Non-negotiable RT requirement  verify or extend,
C2C Vendor Creation- Data base Schema Setup,ALTER rpa_users: add vendor_type + contact_number + vendor_skills columns,High,Yet-to-start,Staging,Phase 3,1,NULL vendor_type = placement backward-compatible,
C2C Vendor Creation- Data base Schema Setup,CREATE rpa_cv_c2c table (no email/phone unique + no lock column) + indexes,High,Yet-to-start,Staging,Phase 3,2,,
C2C Vendor Creation- Data base Schema Setup,CREATE rpa_cv_c2c_tmp staging/review table (LIKE rpa_cv_c2c) + reviewStatus/source/already_in_main_pool columns,High,Yet-to-start,Staging,Phase 3,2,,
C2C Vendor Creation- Data base Schema Setup,ALTER rpa_upload_jobs: add vendor_type column,High,Yet-to-start,Staging,Phase 3,1,,
C2C Vendor Creation- Data base Schema Setup,CREATE rpa_candidates_all shared read view (UNION rpa_cv + rpa_cv_c2c),High,Yet-to-start,Staging,Phase 3,1,Keeps shared tracking/status steps single-sourced,
C2C Vendor Creation- Data base Schema Setup,prisma db pull + prisma generate + schema review,High,Yet-to-start,Staging,Phase 3,1,,
C2C Vendor Creation,admin.controller.js: createUser/updateUser accept vendor_type + contact_number + vendor_skills when role=vendor,Medium,Yet-to-start,Staging,Phase 3,2,,
C2C Vendor Creation,AdminDashboard frontend: Vendor Type select + Contact Number + Skills fields (shown only for Role=Vendor),Medium,Yet-to-start,Staging,Phase 3,2,,
C2C Vendor Creation,POST /api/mrf/:id/share-jd endpoint (vendorEmails[] + c2c_rate + contract_duration),Medium,Yet-to-start,Staging,Phase 3,3,,
C2C Vendor Creation,sendVendorJDEmail - reuse generateMrfEmailTable + append Duration/Rate blocks,Medium,Yet-to-start,Staging,Phase 3,2,Rate/Duration required for C2C optional for placement,
C2C Vendor Creation,MRF detail view: Share JD button + modal (multi-select vendors + optional Duration/Rate),Medium,Yet-to-start,Staging,Phase 3,3,,
C2C Vendor Creation,hrUpload.service.js: SOURCE_PROFILE object + c2c_vendor branch at dedup/insert site,Medium,Yet-to-start,Staging,Phase 3,4,Shared engine reused - not a fork of the 1724-line runBatchParsing,
C2C Vendor Creation,Dedup key logic: name+inMemoryPII match vs rpa_cv_c2c + secondary cross-check vs main rpa_cv,Medium,Yet-to-start,Staging,Phase 3,3,Flags already_in_main_pool - never auto-merges/rejects,
C2C Vendor Creation,Persistence branch: omit EmailID/ContactNumber from rpa_cv_c2c insert (persistPII=false),Medium,Yet-to-start,Staging,Phase 3,2,,
C2C Vendor Creation,Lock-skip branch: no 90-day lock stamp for C2C (applyLock=false),Medium,Yet-to-start,Staging,Phase 3,1,,
C2C Vendor Creation,Notify branch: vendor-only alert + suppress candidate welcome/missing-data emails (NDA),Medium,Yet-to-start,Staging,Phase 3,2,,
C2C Vendor Creation,vendor.controller.js uploadResumes: route by req.user.vendor_type (c2c_vendor vs vendor_portal),Medium,Yet-to-start,Staging,Phase 3,2,,
C2C Vendor Creation,c2cReview.controller.js: POST /c2c-review/merge,Medium,Yet-to-start,Staging,Phase 3,2,,
C2C Vendor Creation,c2cReview.controller.js: POST /c2c-review/reject,Medium,Yet-to-start,Staging,Phase 3,1,,
C2C Vendor Creation,c2cReview.controller.js: POST /c2c-review/accept-new (expected name-collision path),Medium,Yet-to-start,Staging,Phase 3,2,Name collision in C2C is expected not an error,
C2C Vendor Creation,Register c2c-review routes under staff-only guard in vendor.routes.js,Medium,Yet-to-start,Staging,Phase 3,1,Review never vendor-accessible,
C2C Vendor Creation,Review queue UI: contextual tagging (Name/Vendor/MRF) + already_in_main_pool warning chip,Medium,Yet-to-start,Staging,Phase 3,3,Never mutate the raw Name field,
C2C Vendor Creation,screening.service.js: scoringProfile param - C2C 3-axis weights (Skills/CTC/Notice),Medium,Yet-to-start,Staging,Phase 3,3,Education + stability weights zeroed for C2C,
C2C Vendor Creation,Gemini prompt scoped to C2C axes only,Medium,Yet-to-start,Staging,Phase 3,2,,
C2C Vendor Creation,screening.controller.js: GET /api/screening/c2c/search endpoint,Medium,Yet-to-start,Staging,Phase 3,2,,
C2C Vendor Creation,C2CVendorPortal.jsx - upload screen (no candidate email/phone fields) + NDA banner,Medium,Yet-to-start,Staging,Phase 3,4,Reuses existing premium upload components,
C2C Vendor Creation,App.jsx: render C2CVendorPortal when vendor_type=c2c on vendor login,Medium,Yet-to-start,Staging,Phase 3,1,,
C2C Vendor Creation,VendorDashboard.jsx C2C variant: hide email/phone columns + read C2C endpoint,Medium,Yet-to-start,Staging,Phase 3,3,,
C2C Vendor Creation,Shared tracking dashboard: wire to rpa_candidates_all view with candidate_type filter,Medium,Yet-to-start,Staging,Phase 3,2,No UNION logic needed in controller,
C2C Vendor Creation,Verify DDL: no PII/lock columns on C2C tables + shared view returns both categories,Medium,Yet-to-start,Staging,Phase 3,2,,
C2C Vendor Creation,Verify registration: vendor_type/contact/skills persist + existing vendors still resolve as placement,Medium,Yet-to-start,Staging,Phase 3,1,,
C2C Vendor Creation,Verify Share JD: email + portal notification reach vendors + Rate/Duration blocks render,Medium,Yet-to-start,Staging,Phase 3,2,,
C2C Vendor Creation,Verify C2C routing: portal renders + upload runs through shared engine + lands in rpa_cv_c2c with no PII/no lock,Medium,Yet-to-start,Staging,Phase 3,3,,
C2C Vendor Creation,Verify dedup: name collision routes to review + main-pool match flagged + PII never persisted anywhere,Medium,Yet-to-start,Staging,Phase 3,3,,
C2C Vendor Creation,Verify Accept-as-new: both candidates exist independently + contextual tags shown + Name unchanged,Medium,Yet-to-start,Staging,Phase 3,2,,
C2C Vendor Creation,Verify screening: C2C search scores only Skills/CTC/Notice,Medium,Yet-to-start,Staging,Phase 3,2,,
C2C Vendor Creation,Verify notifications: zero emails to any parsed candidate address on C2C upload,Medium,Yet-to-start,Staging,Phase 3,2,,
C2C Vendor Creation,Verify shared steps 7-9: status update appears in shared per-vendor tracking dashboard,Medium,Yet-to-start,Staging,Phase 3,2,,
C2C Vendor Creation,Full placement regression test (dedup + 90-day lock + merge + emails unchanged),Medium,Yet-to-start,Staging,Phase 3,3,Proves the shared engine was not regressed,
C2C Vendor Creation,VENDOR_PROCESS.md Update Log entry + supersede c2c_vendor_plan.md with as-built section,Medium,Yet-to-start,Staging,Phase 3,1,,
MS Access Feasibility (R&D),Feasibility write-up (schema-mismatch handling options) & Alternate solution plan,Medium,Yet-to-start,Staging,Phase 3,3,Blocks M6 MS Access export/import design,
MS Access Export (Interim Win),Scheduled CSV/Excel export job (core candidate tables),Medium,Yet-to-start,Staging,Phase 3,3,Ships regardless of full schema reconciliation outcome,
MS Access Export (Interim Win),Export scheduling/cron wiring,Medium,Yet-to-start,Staging,Phase 3,2,,
MS Access Export (Interim Win),Verification: export completeness spot-check,Medium,Yet-to-start,Staging,Phase 3,2,,
Prompt Config (AI Prompts),Design rpa_ai_prompts table (prompt_key + version + template + model + updated_by/at),Medium,Yet-to-start,Staging,Phase 3,2,,
Prompt Config (AI Prompts),Migrate hardcoded prompts to config (resume parsing + C2C scoring + screening axes + Zeko report interpretation),Medium,Yet-to-start,Staging,Phase 3,4,,
Prompt Config (AI Prompts),Admin UI: view/edit/version prompts + preview/test call,Medium,Yet-to-start,Staging,Phase 3,4,,
Prompt Config (AI Prompts),Rollback/version-history for prompt edits,Medium,Yet-to-start,Staging,Phase 3,2,,
Prompt Config (AI Prompts),Verification: swap a prompt via admin UI and confirm downstream call uses new version without a redeploy,Medium,Yet-to-start,Staging,Phase 3,2,,
Settings Page,Theme + other user preference settings,Medium,Yet-to-start,Staging,Phase 3,2,,
Candidate Search & Directory,All-candidate list on the search & edit candidate page,Medium,Yet-to-start,Staging,Phase 3,2,,
Captcha Implementation,Add CAPTCHA to public-facing forms (login / token-gated candidate forms),Medium,Yet-to-start,Staging,Phase 3,2,,
Developer-Visible Logging,Expose backend error logs directly to developers instead of relying on HR to report issues after the fact,Medium,Yet-to-start,Staging,Phase 3,2,,
